case,time,emitter_population,cavity_population,trace
strong_coupling,9.38,0.30758505944536324,0.0008175823080660283,1.0
strong_coupling,9.39,0.3077175144132576,0.000529961965026346,1.0
strong_coupling,9.4,0.3077881639077741,0.00030460927212213994,1.0
strong_coupling,9.41,0.307797056802022,0.00014138185079471668,1.0
strong_coupling,9.42,0.3077442666758441,4.011289434455499e-05,1.0
strong_coupling,9.43,0.30762989172422806,6.112959023885782e-07,0.9999999999999999
strong_coupling,9.44,0.3074540546557854,2.2661786129007043e-05,1.0
strong_coupling,9.450000000000001,0.30721690258407086,0.00010602507787739208,0.9999999999999999
strong_coupling,9.46,0.3069186069103418,0.0002504380191850691,0.9999999999999999
strong_coupling,9.47,0.30655936318887234,0.00045561376331977035,1.0
strong_coupling,9.48,0.30613939098988674,0.0007212419410473264,0.9999999999999999
strong_coupling,9.49,0.30565893375122466,0.0010469888438477174,0.9999999999999999
strong_coupling,9.5,0.30511825862060066,0.0014324976162312477,0.9999999999999998
strong_coupling,9.51,0.3045176562896033,0.001877388456034182,0.9999999999999998
strong_coupling,9.52,0.3038574408259891,0.0023812588163518752,0.9999999999999999
strong_coupling,9.53,0.303137949480098,0.0029436836324168545,0.9999999999999999
strong_coupling,9.540000000000001,0.30235954249252484,0.0035642155472258687,0.9999999999999999
strong_coupling,9.55,0.30152260289277205,0.0042423851458127815,0.9999999999999999
strong_coupling,9.56,0.3006275362879234,0.004977701199077424,0.9999999999999999
strong_coupling,9.57,0.2996747706425374,0.005769650915998125,1.0
strong_coupling,9.58,0.29866475606389026,0.006617700190564657,0.9999999999999999
strong_coupling,9.59,0.2975979645622461,0.007521293872701597,1.0
strong_coupling,9.6,0.2964748897939964,0.008479856055592516,1.0
strong_coupling,9.61,0.29529604681605814,0.009492790351968951,0.9999999999999999
strong_coupling,9.620000000000001,0.29406197182506827,0.010559480184906532,0.9999999999999998
strong_coupling,9.63,0.29277322189829785,0.011679289076922294,0.9999999999999999
strong_coupling,9.64,0.29143037471616123,0.012851560956475473,0.9999999999999998
strong_coupling,9.65,0.29003402827021013,0.014075620478157861,0.9999999999999999
strong_coupling,9.66,0.2885848005766488,0.015350773337522033,0.9999999999999999
strong_coupling,9.67,0.28708332937780295,0.016676306597219925,1.0
strong_coupling,9.68,0.2855302718447614,0.018051489011919334,0.9999999999999999
